t (s)	x (m)	y (m)
0	-0.008	0.004
0.067	0.547	-0.027
0.133	1.07	0.004
0.2	1.594	-0.058
0.267	2.118	-0.027
0.333	2.58	0.004
0.4	3.104	0.004
0.467	3.596	0.158
0.533	3.966	0.343
0.6	4.305	0.435
0.667	4.613	0.62
0.733	4.798	0.712
0.8	5.106	0.743
0.867	5.322	0.835
0.933	5.507	0.959
1	5.66	1.143
1.067	5.784	1.328
1.133	5.907	1.575
1.2	5.907	1.76
1.267	6.153	2.006
1.333	6.215	2.222
1.4	6.246	2.591
1.467	6.307	2.93
1.533	6.369	3.146
1.6	6.431	3.331
1.667	6.492	3.608
1.733	6.554	3.762
1.8	6.708	3.885
1.867	6.831	3.885
1.933	7.016	3.854
2	7.108	3.793
2.067	7.139	3.639
2.133	7.17	3.485
2.2	7.17	3.146
2.267	7.263	2.899
2.333	7.232	2.56
2.4	7.293	2.376
2.467	7.509	2.068
2.533	7.601	1.636
2.6	7.755	1.113
2.667	7.879	0.558
2.733	7.94	0.158
2.8	7.971	-0.15
