Altitude (m)	Pressure (Pa)
1279.606636	86867
1473.075087	84844
1815.193357	81341
2066.599715	78837
2068.640058	78837
2518.767996	74504
2658.686362	73205
2729.347403	72555
2894.943558	71057
2950.141028	70547
2985.471218	70243
3068.712808	69503
3196.991401	68375
3397.918951	66636
3505.354218	65717
3668.437359	64360
3694.805063	64136
3720.762178	63911
3848.064549	62869
4177.035073	60238
4244.633838	59710
4440.995756	58182
4536.587091	57458
4548.324525	57367
4564.570217	57240
4664.646398	56485
4620.39019	56818
4629.703866	56758
4750.287557	55851
4728.870572	56011
4839.719517	55192
4900.371271	54765
4932.909396	54523
4921.913278	54583
4983.937061	54112
4984.628555	54139
5083.629539	53409
5172.547057	52809
5257.77209	52189
5215.982583	52484
5247.235727	52300
5256.34755	52192
5269.746955	52097
5374.189246	51381
5339.913547	51618
5404.684206	51159
5550.904517	50157
5511.858617	50434
5534.737436	50273
5536.352854	50270
5576.094067	49986
5690.840701	49230
5699.658646	49166
5748.837267	48839
5800.249431	48493
5846.938449	48189
5819.926465	48360
5849.674494	48172
5899.829764	47845
5962.571757	47432
6008.252985	47133
6078.771561	46682
6204.712634	45877
6164.791908	46126
6204.080091	45885
6288.603039	45342
6316.582132	45170
6320.74651	45148
6272.335529	45392
6294.990543	45306
6331.326353	45078
6375.222108	44792
6347.058977	44987
6352.523719	44946
6391.193857	44697
6406.385477	44610
6443.016349	44394
6431.654393	44464
6442.853933	44391
6449.190345	44361
6497.266302	44055
6501.842976	44025
6469.204008	44224
6467.412335	44233
6468.552449	44232
6467.900937	44228
6504.132196	44020
6514.277264	43953
6592.388444	43471
6557.934825	43683
6566.000471	43637
6590.07636	43495
6591.232327	43483
6593.04915	43477
6593.04915	43469
6598.997721	43436
6624.158003	43292
6624.158003	43280
6647.72772	43155
6703.414976	42804
6663.364784	43049
6673.36035	42996
6752.220421	42522
6710.777222	42760
6772.256603	42406
6764.842968	42434
6774.785402	42385
6816.700281	42138
6785.414279	42329
6826.192566	42083
6919.968079	41533
6903.356748	41631
6852.859508	41924
6874.149029	41790
6938.328398	41425
6937.984862	41425
6900.619747	41637
6939.530878	41445
6961.37593	41293
6935.408774	41476
6919.968079	41531
6947.952849	41367
6966.544121	41265
6966.19948	41260
7044.608337	40817
7047.042773	40793
6996.233952	41089
6996.233952	41086
7001.768741	41053
7003.845187	41040
7010.597034	41001
7076.832399	40631
7056.787288	40745
7062.012025	40707
7146.386595	40223
7127.059186	40340
7126.357176	40338
7082.592958	40588
7109.350656	40503
7090.80394	40542
7122.497126	40368
7131.272432	40321
7141.638636	40257
7206.929003	39877
7216.853477	39818
7159.94126	40147
7228.564695	39769
7167.872565	40109
7166.462028	40114
7189.58829	39982
7194.008669	39960
7239.936069	39672
7218.626894	39812
7220.755469	39811
7301.670887	39338
7270.213525	39524
7276.817292	39496
7319.954034	39259
7270.213525	39537
7287.53676	39437
7376.480004	38928
7384.24953	38891
7384.791849	38890
7390.578698	38860
7392.568819	38853
